,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,18,0,0,3280.7690000000002,3201.923,3220.513,3199.615,3338.8459999999995,3289.2309999999998,3212.179,3320.7690000000002,3234.103,3396.538,3273.077,3263.462,3441.282,3320.513,0,0
1,19,0,0,3397.308,3320.513,3322.051,3297.949,3458.59,3384.3590000000004,3306.667,3432.5640000000003,3341.667,3526.1540000000005,3367.692,3361.282,3564.8720000000003,3430.385,0,0
2,20,0,0,3527.5640000000003,3461.41,3446.026,3425.256,3585.385,3500.1279999999997,3427.4359999999997,3575.897,3470.385,3671.795,3483.974,3479.744,3737.821,3569.103,0,0
3,21,0,0,3683.462,3626.282,3594.8720000000003,3561.538,3750.1279999999997,3658.59,3581.795,3731.795,3594.615,3818.462,3619.744,3624.103,3867.692,3726.41,0,0
4,22,0,0,3854.8720000000003,3800.385,3754.3590000000004,3705.1279999999997,3927.821,3820.897,3735.256,3900.1279999999997,3743.718,3998.8459999999995,3770.256,3782.051,4055.1279999999997,3894.615,0,0
5,23,0,0,4033.333,3986.026,3916.923,3866.923,4104.359,3978.718,3884.615,4077.821,3903.59,4209.231,3928.718,3940.513,4245.769,4078.205,0,0
6,24,0,0,4237.564,4202.179,4102.179,4050.6409999999996,4316.154,4160.513,4068.333,4274.872,4064.615,4422.179,4105.255999999999,4120.0,4383.333,4287.0509999999995,0,0
7,25,0,0,4433.846,4410.255999999999,4286.923,4226.154,4534.359,4345.641,4250.769,4476.154,4231.795,4620.0,4285.255999999999,4303.974,4558.333,4492.436,0,0
8,26,0,0,4581.795,4564.487,4427.0509999999995,4360.255999999999,4688.718,4500.385,4375.641,4634.487,4371.667,4787.179,4425.513,4442.821,4746.795,4647.564,0,0
9,27,0,0,4716.923,4699.231,4546.282,4469.872,4801.538,4622.821,4481.538,4760.0,4478.59,4926.154,4541.667,4556.923,4867.9490000000005,4778.846,0,0
