,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,28,0,0,4888.077,4841.667,4873.333,4988.462,4896.923,4849.872,4557.821,4792.179,4829.487,4860.769,4891.026,4847.308,5013.59,4902.564,0,0
1,29,0,0,4966.923,4907.692,4932.692,5021.795,4972.9490000000005,4893.59,4610.513,4857.9490000000005,4864.103,4920.0,4952.308,4907.179,5069.359,4984.103,0,0
2,30,0,0,4993.205,4922.0509999999995,4960.897,5029.103,4967.564,4905.128,4623.59,4873.462,4893.718,4943.974,4982.9490000000005,4941.923,5071.282,5009.615,0,0
3,31,0,0,4944.487,4860.385,4916.154,4980.385,4904.615,4864.744000000001,4581.154,4814.231,4856.282,4892.308,4943.718,4906.154,4996.282,4955.385,0,0
4,32,0,0,4943.333,4844.872,4901.923,4966.41,4930.897,4846.667,4585.897,4816.282,4835.897,4878.846,4940.897,4892.308,4982.436,4961.282,0,0
5,33,0,0,4943.846,4840.769,4906.538,4972.308,4940.385,4838.205,4588.333,4835.0,4847.564,4898.462,4958.077,4892.692,4993.462,4982.564,0,0
6,34,0,0,4890.641,4778.077,4871.41,4930.128,4869.231,4820.385,4543.59,4792.436,4829.231,4872.179,4934.487,4857.436,4944.231,4936.41,0,0
7,35,0,0,4863.846,4729.615,4847.179,4890.769,4855.0,4823.333,4537.308,4773.077,4814.359,4849.231,4910.0,4840.641,4914.231,4897.179,0,0
8,36,0,0,4854.231,4713.59,4848.462,4884.231,4873.718,4820.128,4554.103,4786.282,4817.0509999999995,4850.897,4904.359,4847.179,4914.872,4883.333,0,0
9,37,0,0,4812.308,4686.154,4829.231,4864.231,4840.128,4800.513,4536.282,4774.359,4815.769,4836.026,4892.821,4827.564,4886.154,4859.103,0,0
10,38,0,0,4769.872,4648.205,4797.821,4832.821,4812.692,4784.744000000001,4513.974,4750.385,4805.0,4808.205,4875.513,4793.077,4849.744000000001,4828.462,0,0
11,39,0,0,4748.59,4617.692,4782.692,4809.103,4807.564,4770.0,4508.59,4736.667,4779.359,4781.154,4857.692,4774.615,4831.667,4801.154,0,0
12,40,0,0,4735.897,4593.846,4776.41,4785.769,4791.923,4758.974,4505.769,4738.59,4773.333,4773.59,4848.846,4768.205,4818.974,4788.59,0,0
13,41,0,0,4717.308,4560.769,4760.0,4770.0,4766.282,4752.436,4498.846,4740.128,4791.026,4776.41,4841.795,4758.077,4798.59,4774.231,0,0
14,42,0,0,4672.9490000000005,4517.821,4719.487,4751.154,4728.974,4725.897,4470.128,4697.308,4761.154,4731.795,4800.255999999999,4721.026,4753.462,4718.846,0,0
15,43,0,0,4639.487,4511.282,4695.513,4732.179,4717.692,4695.385,4446.026,4653.718,4712.564,4682.564,4766.154,4688.462,4710.897,4681.026,0,0
16,44,0,0,4646.282,4545.641,4711.538,4740.513,4748.846,4692.436,4457.179,4667.821,4728.333,4693.846,4774.359,4697.0509999999995,4703.333,4700.128,0,0
17,45,0,0,4638.718,4532.564,4706.795,4738.718,4745.255999999999,4693.333,4447.821,4669.615,4736.923,4690.897,4766.026,4692.564,4680.255999999999,4686.538,0,0
18,46,0,0,4587.9490000000005,4467.179,4658.846,4692.692,4687.436,4666.41,4399.231,4614.487,4671.923,4618.333,4719.872,4643.974,4611.795,4626.538,0,0
19,47,0,0,4562.0509999999995,4448.718,4634.359,4676.026,4662.821,4639.487,4383.077,4587.308,4634.487,4571.538,4700.128,4615.513,4566.538,4605.769,0,0
20,48,0,0,4586.282,4489.231,4650.128,4710.128,4679.231,4649.359,4405.385,4615.769,4671.667,4599.872,4720.385,4630.0,4576.026,4627.564,0,0
21,49,0,0,4580.128,4491.026,4637.692,4697.308,4667.564,4652.308,4390.641,4607.179,4666.795,4593.077,4706.538,4617.179,4562.308,4612.9490000000005,0,0
22,50,0,0,4552.0509999999995,4463.205,4613.974,4659.487,4649.231,4630.769,4368.333,4581.154,4629.231,4553.462,4674.359,4585.385,4525.385,4583.205,0,0
23,51,0,0,4554.359,4469.744000000001,4622.0509999999995,4669.615,4642.692,4624.615,4383.205,4599.359,4649.744000000001,4568.077,4675.0,4585.513,4520.255999999999,4584.615,0,0
24,52,0,0,4542.9490000000005,4469.872,4606.026,4668.077,4623.205,4610.897,4371.795,4593.846,4657.564,4578.333,4665.0,4574.615,4508.333,4565.128,0,0
25,53,0,0,4496.923,4421.154,4558.718,4618.077,4585.128,4571.282,4327.692,4538.462,4602.179,4530.0,4617.692,4525.641,4462.9490000000005,4516.154,0,0
26,54,0,0,4473.59,4385.385,4540.255999999999,4586.154,4550.897,4555.255999999999,4317.692,4513.077,4571.923,4495.513,4591.923,4497.308,4438.846,4497.179,0,0
