,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,4,0,3596,4207.564,4193.718,4176.538,4188.846,4177.692,4181.667,4335.641,4184.487,4183.846,4184.231,4172.436,4158.462,4189.744000000001,4187.436,0,0
1,5,0,3253,4215.128,4202.9490000000005,4182.9490000000005,4190.0,4184.231,4186.538,4327.0509999999995,4193.462,4194.615,4201.667,4184.231,4163.59,4202.692,4197.308,0,0
2,6,0,3176,4197.564,4201.154,4178.718,4187.0509999999995,4170.897,4176.026,4271.41,4175.128,4178.718,4181.667,4182.0509999999995,4153.077,4193.974,4184.615,0,0
3,7,0,3505,4200.897,4198.205,4179.615,4195.128,4169.231,4175.513,4154.359,4172.692,4180.897,4179.231,4183.974,4156.667,4193.718,4183.718,0,0
4,8,0,3083,4218.462,4203.846,4187.308,4201.282,4172.179,4183.846,3959.8720000000003,4189.103,4212.436,4212.564,4192.436,4175.641,4202.308,4192.0509999999995,0,0
5,9,0,3618,4211.282,4201.795,4180.128,4194.231,4156.923,4179.231,3789.2309999999998,4182.179,4206.538,4212.564,4184.615,4171.026,4191.667,4187.308,0,0
6,10,0,3516,4195.385,4190.641,4167.564,4180.641,4154.103,4173.333,3633.333,4165.128,4170.513,4181.154,4170.255999999999,4155.0,4180.255999999999,4177.692,0,0
7,11,0,3484,4193.333,4184.744000000001,4169.744000000001,4175.513,4172.9490000000005,4175.897,3465.385,4164.744000000001,4166.41,4170.385,4167.692,4155.385,4185.897,4174.744000000001,0,0
8,12,0,3084,4181.538,4174.615,4165.513,4171.41,4175.513,4171.923,3357.5640000000003,4157.692,4167.692,4174.615,4168.077,4155.385,4179.359,4165.513,0,0
9,13,0,3117,4165.641,4164.872,4155.128,4162.9490000000005,4160.255999999999,4164.103,3294.103,4145.513,4150.128,4167.308,4163.974,4145.513,4162.308,4152.821,0,0
10,14,0,3516,4186.154,4182.0509999999995,4173.333,4175.897,4165.255999999999,4177.436,3234.2309999999998,4167.0509999999995,4178.333,4173.077,4173.974,4157.692,4180.128,4168.974,0,0
11,15,0,3484,4205.641,4199.103,4192.821,4192.9490000000005,4179.103,4190.769,3180.513,4187.308,4209.487,4188.333,4189.872,4177.692,4199.487,4193.333,0,0
12,16,0,0,4189.744000000001,4187.308,4184.231,4183.59,4173.59,4180.769,3161.41,4171.41,4172.692,4180.0,4182.436,4171.154,4181.154,4182.9490000000005,0,0
13,17,0,0,4186.795,4185.385,4179.872,4176.667,4173.974,4177.436,3242.051,4164.487,4148.462,4172.9490000000005,4168.462,4165.128,4177.308,4173.205,0,0
