,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,13,0,3244,4151.154,4171.667,4166.154,4168.333,4170.255999999999,4170.255999999999,4171.538,4158.077,4166.538,4162.821,4163.718,4147.436,4167.308,4151.795,0,0
1,14,0,3189,4162.0509999999995,4179.103,4172.9490000000005,4177.821,4171.795,4175.255999999999,4170.385,4166.538,4170.255999999999,4175.641,4165.641,4156.282,4168.077,4156.538,0,0
2,15,0,2948,4173.974,4184.744000000001,4181.667,4189.231,4177.821,4184.615,4172.692,4177.0509999999995,4175.897,4187.9490000000005,4179.872,4171.41,4175.0,4175.255999999999,0,0
3,16,0,0,4176.282,4185.513,4184.872,4186.923,4183.077,4187.0509999999995,4180.128,4173.59,4176.923,4184.872,4185.128,4174.359,4184.231,4178.462,0,0
4,17,0,0,4181.154,4184.487,4185.897,4181.154,4177.564,4182.692,4178.59,4167.436,4172.564,4178.462,4175.769,4169.487,4178.974,4175.641,0,0
5,18,0,0,4187.179,4185.513,4188.59,4182.9490000000005,4170.128,4180.897,4174.872,4170.255999999999,4170.897,4182.0509999999995,4171.282,4172.821,4174.615,4183.974,0,0
6,19,0,0,4186.026,4185.513,4190.769,4184.359,4170.769,4182.436,4180.128,4172.436,4172.436,4187.0509999999995,4173.59,4182.436,4182.821,4188.205,0,0
7,20,0,0,4185.385,4185.385,4189.231,4181.667,4173.077,4179.359,4180.385,4171.538,4173.333,4183.846,4176.282,4183.462,4186.282,4184.103,0,0
8,21,0,0,4184.872,4186.538,4184.487,4179.103,4171.282,4177.564,4171.923,4170.385,4172.564,4181.923,4184.359,4175.385,4180.513,4184.744000000001,0,0
9,22,0,0,4175.769,4185.0,4182.0509999999995,4179.103,4172.0509999999995,4177.436,4175.641,4171.538,4172.0509999999995,4182.436,4185.641,4170.128,4181.282,4182.308,0,0
10,23,0,0,4171.538,4185.513,4185.255999999999,4182.436,4173.59,4177.179,4186.538,4173.974,4172.692,4185.0,4175.128,4171.795,4186.923,4175.128,0,0
11,24,0,0,4171.282,4181.538,4181.667,4180.385,4170.385,4175.769,4181.667,4172.0509999999995,4171.795,4182.821,4169.231,4167.308,4181.282,4170.255999999999,0,0
12,25,0,0,4162.9490000000005,4171.282,4171.41,4173.077,4171.538,4174.744000000001,4176.154,4170.128,4168.462,4171.923,4171.41,4155.513,4173.846,4167.179,0,0
13,26,0,0,4158.462,4171.026,4169.103,4172.436,4173.59,4178.077,4182.436,4174.103,4168.333,4168.59,4172.308,4152.436,4180.513,4165.897,0,0
