,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,85,0,3262,4189.615,4192.0509999999995,4202.692,4189.744000000001,4183.205,4172.9490000000005,4182.821,4173.205,4184.744000000001,4174.487,4190.385,4186.795,4173.077,4203.333,0,0
1,86,0,3113,4186.154,4186.154,4196.538,4183.59,4182.0509999999995,4172.179,4174.744000000001,4168.718,4180.128,4167.308,4187.564,4184.744000000001,4172.564,4201.282,0,0
2,87,0,2918,4186.538,4186.538,4191.154,4182.436,4177.692,4174.487,4177.436,4166.923,4182.179,4165.128,4182.436,4184.231,4169.872,4200.255999999999,0,0
3,88,0,2574,4189.231,4187.821,4196.667,4182.9490000000005,4176.41,4174.231,4183.333,4175.513,4185.513,4178.077,4188.205,4186.923,4174.231,4202.9490000000005,0,0
4,89,0,3262,4193.718,4191.795,4200.513,4183.205,4181.026,4177.179,4183.462,4183.846,4183.59,4177.564,4191.41,4188.846,4183.846,4204.487,0,0
5,90,0,3113,4193.333,4192.308,4195.0,4185.255999999999,4183.077,4179.615,4183.462,4182.692,4184.615,4166.026,4186.795,4187.821,4184.103,4201.923,0,0
6,91,0,2918,4189.487,4184.744000000001,4192.564,4183.718,4182.821,4173.59,4187.179,4189.231,4195.128,4177.436,4186.923,4185.769,4182.436,4201.667,0,0
7,92,0,2574,4193.59,4184.103,4198.333,4181.923,4182.9490000000005,4173.333,4191.923,4201.923,4200.513,4190.385,4189.359,4189.487,4185.897,4202.0509999999995,0,0
8,93,0,3262,4198.077,4187.436,4200.513,4185.897,4182.308,4185.255999999999,4194.744000000001,4202.821,4196.41,4176.795,4189.744000000001,4196.154,4186.538,4200.128,0,0
9,94,0,3113,4200.769,4185.255999999999,4202.436,4188.59,4183.462,4188.462,4197.564,4200.128,4195.0,4166.538,4194.872,4201.026,4183.205,4205.0,0,0
10,95,0,2918,4211.795,4191.923,4210.128,4185.385,4185.513,4182.308,4197.9490000000005,4199.231,4199.872,4180.641,4201.795,4206.923,4179.872,4217.179,0,0
11,96,0,2574,4226.282,4203.974,4215.769,4190.0,4186.795,4182.9490000000005,4193.846,4190.385,4199.359,4190.255999999999,4203.462,4215.897,4178.462,4228.077,0,0
12,97,0,3262,4232.0509999999995,4205.385,4214.615,4196.282,4185.385,4185.897,4187.821,4183.462,4190.641,4184.615,4203.846,4220.0,4175.513,4233.974,0,0
13,98,0,3113,4232.436,4203.59,4213.205,4195.0,4184.487,4183.205,4187.436,4185.513,4185.255999999999,4184.487,4200.513,4211.795,4173.974,4234.231,0,0
14,99,0,2918,4228.077,4203.462,4214.231,4193.205,4192.564,4181.154,4188.205,4185.769,4185.897,4183.718,4198.333,4203.333,4178.333,4229.359,0,0
15,100,0,2574,4219.872,4199.872,4212.308,4190.769,4195.385,4181.538,4184.487,4184.744000000001,4186.026,4173.462,4200.513,4204.487,4176.026,4223.077,0,0
16,101,0,3262,4215.255999999999,4196.795,4208.077,4187.308,4188.077,4183.718,4183.59,4183.205,4184.615,4171.41,4192.436,4199.615,4167.9490000000005,4214.487,0,0
17,102,0,3113,4212.564,4199.872,4203.205,4187.564,4186.41,4187.308,4185.641,4181.154,4183.205,4174.615,4181.154,4185.769,4172.692,4208.846,0,0
18,103,0,2918,4210.0,4200.641,4200.255999999999,4189.231,4189.231,4185.0,4185.513,4182.564,4185.255999999999,4170.513,4184.615,4181.923,4182.821,4211.282,0,0
19,104,0,2574,4207.692,4198.59,4198.974,4186.923,4187.436,4181.923,4184.744000000001,4185.255999999999,4192.9490000000005,4176.795,4190.255999999999,4186.538,4184.872,4213.333,0,0
20,105,0,3262,4206.026,4199.872,4198.077,4187.436,4187.0509999999995,4186.026,4181.026,4187.9490000000005,4199.359,4192.0509999999995,4187.308,4184.359,4185.128,4213.462,0,0
21,106,0,3113,4202.308,4197.436,4197.436,4188.974,4189.231,4183.718,4171.538,4193.974,4199.872,4192.821,4184.872,4186.154,4184.872,4213.462,0,0
22,107,0,2918,4202.692,4189.615,4197.436,4186.667,4187.179,4177.0509999999995,4170.641,4197.564,4199.615,4188.462,4193.205,4197.821,4184.487,4215.385,0,0
23,108,0,2574,4210.255999999999,4186.923,4200.769,4188.077,4186.154,4180.385,4182.9490000000005,4196.538,4199.872,4190.255999999999,4204.359,4204.615,4188.462,4217.564,0,0
24,109,0,3262,4208.718,4187.564,4202.564,4188.333,4187.0509999999995,4186.026,4187.436,4198.333,4199.615,4187.0509999999995,4204.615,4203.718,4188.205,4216.538,0,0
25,110,0,3113,4200.0,4185.769,4202.0509999999995,4187.564,4187.9490000000005,4187.0509999999995,4186.282,4201.923,4200.128,4185.255999999999,4200.513,4204.103,4184.231,4214.615,0,0
26,111,0,2918,4205.0,4186.923,4202.436,4187.179,4187.179,4187.821,4191.795,4201.538,4199.615,4187.0509999999995,4202.692,4208.205,4183.462,4215.897,0,0
27,112,0,2574,4214.103,4189.744000000001,4202.821,4188.462,4185.128,4188.718,4192.821,4200.0,4197.0509999999995,4179.359,4202.564,4208.333,4185.897,4216.667,0,0
28,113,0,3262,4209.103,4192.821,4206.667,4193.205,4186.154,4189.744000000001,4189.231,4198.974,4197.179,4183.846,4198.077,4204.744000000001,4188.59,4214.872,0,0
29,114,0,3113,4206.41,4198.846,4212.692,4198.59,4187.692,4188.846,4189.872,4199.103,4199.359,4198.718,4196.282,4205.513,4186.154,4216.282,0,0
30,115,0,2918,4216.026,4202.564,4217.0509999999995,4201.795,4187.308,4184.487,4187.9490000000005,4201.538,4201.538,4195.255999999999,4198.077,4209.359,4183.59,4218.205,0,0
31,116,0,2574,4215.513,4201.923,4213.59,4198.205,4185.897,4185.513,4183.718,4195.897,4203.333,4182.436,4200.641,4206.795,4181.026,4215.513,0,0
32,117,0,3262,4205.0,4198.077,4204.487,4186.923,4184.487,4187.179,4182.9490000000005,4188.59,4197.9490000000005,4181.538,4201.538,4199.615,4172.308,4214.744000000001,0,0
33,118,0,3113,4202.821,4196.923,4200.641,4183.846,4184.487,4184.359,4185.897,4196.538,4191.923,4185.641,4197.9490000000005,4198.077,4168.718,4213.462,0,0
34,119,0,2918,4205.255999999999,4198.718,4203.462,4197.436,4186.923,4186.026,4189.231,4202.308,4197.692,4185.513,4194.359,4197.692,4173.205,4206.026,0,0
35,120,0,2574,4200.385,4194.487,4201.282,4199.487,4187.564,4187.692,4188.846,4188.846,4200.0,4188.077,4193.718,4190.897,4169.744000000001,4200.128,0,0
36,121,0,3262,4194.872,4187.564,4196.026,4187.436,4178.205,4184.487,4185.769,4181.154,4188.974,4179.872,4191.026,4186.282,4162.9490000000005,4201.154,0,0
37,122,0,3113,4195.385,4187.821,4197.179,4184.359,4170.385,4184.744000000001,4185.769,4186.154,4184.744000000001,4171.795,4184.744000000001,4192.0509999999995,4166.026,4200.255999999999,0,0
38,123,0,2918,4198.205,4193.333,4198.718,4189.487,4175.513,4187.0509999999995,4186.923,4185.641,4187.692,4181.795,4190.255999999999,4199.487,4169.103,4202.564,0,0
39,124,0,2574,4203.718,4199.231,4200.769,4193.974,4182.9490000000005,4185.255999999999,4185.513,4189.359,4186.154,4183.718,4205.897,4202.9490000000005,4168.077,4213.846,0,0
40,125,0,3262,4203.59,4197.436,4202.564,4189.231,4183.59,4184.615,4185.769,4199.359,4192.0509999999995,4174.872,4202.821,4203.333,4169.487,4217.692,0,0
