,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,8,0,1343,4422.9490000000005,4355.128,4383.205,4358.462,4373.59,4356.154,4376.538,4353.462,4341.538,4413.077,4418.846,4353.462,4209.744000000001,4498.718,0,0
1,9,0,3505,4418.846,4356.41,4380.0,4365.128,4371.154,4358.718,4378.846,4352.692,4337.9490000000005,4402.0509999999995,4411.154,4352.179,4185.769,4496.41,0,0
2,10,0,3139,4422.692,4360.128,4386.41,4368.846,4377.0509999999995,4361.154,4383.077,4350.897,4340.513,4404.744000000001,4421.667,4352.436,4198.333,4505.128,0,0
3,11,0,3382,4427.0509999999995,4367.821,4392.821,4372.564,4381.667,4366.667,4384.487,4351.154,4343.974,4408.59,4430.513,4355.897,4216.41,4508.846,0,0
4,12,0,3220,4424.231,4366.538,4385.897,4370.513,4373.846,4362.821,4377.692,4347.0509999999995,4341.41,4398.718,4420.769,4356.154,4192.308,4501.538,0,0
5,13,0,1963,4423.846,4358.205,4380.897,4362.692,4367.436,4352.564,4370.0,4342.436,4339.231,4392.821,4412.0509999999995,4351.538,4195.897,4501.41,0,0
6,14,0,3139,4424.615,4358.077,4383.077,4358.462,4367.9490000000005,4355.769,4372.436,4344.103,4340.0,4398.205,4414.872,4348.462,4220.897,4512.0509999999995,0,0
7,15,0,3382,4426.282,4365.769,4380.128,4358.718,4361.923,4360.641,4375.513,4343.59,4335.513,4392.9490000000005,4414.103,4348.846,4185.513,4520.897,0,0
8,16,0,0,4437.436,4372.308,4384.359,4364.744000000001,4357.692,4350.513,4371.41,4340.385,4332.436,4384.615,4412.9490000000005,4353.462,4146.538,4533.077,0,0
9,17,0,0,4450.0,4383.462,4395.513,4375.0,4367.179,4345.769,4369.487,4343.077,4337.0509999999995,4393.846,4420.897,4360.0,4182.9490000000005,4544.615,0,0
10,18,0,0,4452.9490000000005,4394.103,4388.846,4375.641,4370.769,4352.0509999999995,4368.077,4342.0509999999995,4336.026,4394.487,4422.0509999999995,4357.179,4208.462,4540.641,0,0
11,19,0,0,4455.385,4396.538,4382.564,4373.59,4363.846,4352.692,4365.513,4340.128,4330.897,4381.154,4418.974,4353.718,4185.128,4536.795,0,0
12,20,0,0,4471.154,4410.0,4394.872,4386.538,4371.026,4350.385,4368.718,4345.385,4335.0,4386.154,4422.692,4359.744000000001,4186.026,4548.077,0,0
13,21,0,0,4480.0,4431.795,4396.795,4395.641,4381.538,4351.282,4371.026,4347.179,4341.667,4396.923,4419.103,4362.0509999999995,4205.641,4551.795,0,0
14,22,0,0,4469.744000000001,4433.077,4381.026,4385.641,4370.255999999999,4349.744000000001,4361.026,4340.0,4340.0,4385.128,4403.462,4352.436,4202.692,4539.744000000001,0,0
15,23,0,0,4457.9490000000005,4420.128,4374.487,4378.333,4357.9490000000005,4351.667,4356.026,4335.897,4336.154,4375.385,4395.513,4348.077,4198.846,4532.436,0,0
16,24,0,0,4452.821,4416.538,4376.795,4381.282,4361.923,4356.667,4358.462,4335.769,4333.718,4376.282,4393.077,4350.513,4190.385,4532.179,0,0
17,25,0,0,4442.564,4411.667,4370.769,4376.282,4360.769,4347.179,4347.0509999999995,4330.0,4326.667,4363.205,4384.359,4344.103,4162.0509999999995,4526.282,0,0
18,26,0,0,4428.59,4396.282,4361.795,4364.872,4354.359,4336.923,4339.744000000001,4325.641,4324.231,4356.154,4381.923,4334.872,4152.9490000000005,4516.667,0,0
19,27,0,0,4419.744000000001,4385.128,4360.641,4361.41,4355.513,4345.769,4349.103,4331.026,4332.179,4366.026,4382.9490000000005,4335.897,4168.333,4504.487,0,0
20,28,0,0,4410.128,4378.462,4367.308,4360.513,4353.205,4352.436,4352.436,4333.333,4334.872,4367.564,4379.487,4340.385,4177.564,4493.974,0,0
21,29,0,0,4404.615,4373.974,4370.769,4357.436,4352.0509999999995,4343.205,4351.026,4331.026,4327.9490000000005,4367.0509999999995,4381.667,4341.282,4183.59,4490.128,0,0
22,30,0,0,4401.795,4372.564,4365.513,4359.231,4355.385,4336.41,4350.769,4331.154,4326.282,4369.872,4384.103,4340.385,4192.0509999999995,4480.255999999999,0,0
23,31,0,0,4391.538,4367.179,4360.641,4357.821,4351.026,4338.333,4343.205,4329.615,4329.359,4361.667,4375.897,4336.282,4190.0,4462.692,0,0
24,32,0,0,4378.59,4350.255999999999,4356.795,4347.436,4341.154,4341.538,4340.0,4325.641,4328.205,4347.436,4361.282,4330.128,4172.564,4444.103,0,0
25,33,0,0,4369.487,4340.641,4347.0509999999995,4340.513,4337.0509999999995,4342.179,4343.333,4325.641,4326.154,4340.513,4354.487,4323.205,4164.615,4426.538,0,0
26,34,0,0,4362.9490000000005,4343.333,4340.513,4341.026,4333.718,4335.897,4335.641,4327.0509999999995,4326.923,4342.0509999999995,4357.564,4321.154,4182.821,4414.231,0,0
27,35,0,0,4358.205,4342.9490000000005,4340.385,4341.41,4335.255999999999,4329.487,4335.897,4327.179,4325.128,4349.872,4356.154,4321.538,4186.282,4407.821,0,0
28,36,0,0,4355.128,4340.641,4340.769,4339.103,4342.0509999999995,4334.744000000001,4340.641,4327.179,4325.385,4349.231,4344.231,4320.513,4167.821,4397.821,0,0
29,37,0,0,4352.564,4340.128,4341.282,4337.179,4340.769,4338.077,4333.462,4325.513,4330.128,4341.923,4340.897,4321.667,4177.308,4390.641,0,0
30,38,0,0,4351.667,4334.487,4342.692,4335.385,4333.974,4333.205,4331.667,4326.795,4331.282,4342.9490000000005,4346.795,4325.513,4184.103,4391.923,0,0
31,39,0,0,4342.564,4327.821,4339.231,4330.897,4330.385,4337.308,4335.641,4329.872,4327.179,4342.821,4345.255999999999,4322.436,4172.821,4381.795,0,0
32,40,0,0,4328.077,4324.231,4333.59,4326.026,4324.872,4338.205,4324.487,4325.897,4327.564,4345.255999999999,4341.026,4316.795,4217.436,4362.821,0,0
33,41,0,0,4325.897,4316.795,4330.897,4325.385,4321.795,4328.333,4317.436,4323.974,4328.718,4348.333,4339.231,4316.026,4233.846,4354.359,0,0
34,42,0,0,4327.821,4312.436,4328.974,4327.179,4324.103,4324.487,4326.667,4327.179,4320.513,4329.872,4329.359,4313.205,4133.59,4349.103,0,0
