,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,113,0,2085,4182.308,4185.255999999999,4169.359,4184.744000000001,4178.59,4184.487,4187.564,4196.538,4184.359,4188.846,4176.923,4162.436,4188.333,4171.923,0,0
1,114,0,3186,4172.308,4172.692,4160.513,4171.795,4169.744000000001,4170.513,4178.462,4173.205,4173.974,4178.462,4166.026,4157.436,4182.436,4162.692,0,0
2,115,0,3230,4171.538,4172.308,4162.692,4170.255999999999,4170.255999999999,4172.9490000000005,4185.385,4176.026,4167.436,4169.487,4153.333,4157.308,4172.692,4155.641,0,0
3,116,0,3291,4178.462,4179.872,4171.923,4174.872,4177.308,4184.231,4187.821,4191.795,4176.026,4175.641,4156.154,4158.333,4180.385,4159.872,0,0
4,117,0,2085,4170.0,4172.692,4163.846,4171.538,4173.718,4176.41,4171.282,4162.821,4171.795,4176.282,4155.769,4152.9490000000005,4186.538,4155.0,0,0
5,118,0,3186,4156.41,4165.641,4151.282,4166.282,4170.128,4168.077,4163.462,4137.821,4156.923,4164.359,4142.9490000000005,4145.897,4172.564,4141.282,0,0
6,119,0,3230,4158.846,4170.0,4155.769,4167.564,4174.231,4180.128,4180.769,4174.359,4167.692,4167.9490000000005,4143.974,4149.231,4170.641,4143.462,0,0
7,120,0,3291,4170.0,4173.333,4166.154,4173.333,4177.0509999999995,4188.59,4194.744000000001,4207.821,4193.205,4190.513,4164.487,4161.026,4193.205,4159.359,0,0
8,121,0,2085,4170.128,4168.846,4160.641,4170.897,4171.538,4176.667,4176.154,4182.0509999999995,4186.667,4189.359,4161.923,4157.308,4189.872,4157.0509999999995,0,0
9,122,0,3186,4163.333,4164.103,4151.282,4163.846,4165.769,4164.615,4162.0509999999995,4161.538,4166.282,4167.308,4144.872,4146.41,4168.462,4144.231,0,0
10,123,0,3230,4167.9490000000005,4168.077,4162.821,4167.692,4171.154,4171.795,4184.103,4184.487,4177.9490000000005,4174.615,4157.692,4155.769,4177.692,4149.487,0,0
11,124,0,3291,4173.59,4172.179,4170.0,4174.487,4177.179,4181.667,4192.0509999999995,4196.282,4195.128,4192.692,4171.795,4166.026,4194.231,4159.359,0,0
12,125,0,2085,4167.179,4167.692,4159.872,4170.641,4173.718,4175.385,4170.897,4179.744000000001,4182.692,4180.385,4158.718,4155.641,4187.692,4154.359,0,0
13,126,0,3186,4165.0,4169.231,4160.0,4171.41,4175.897,4170.897,4165.255999999999,4180.513,4172.179,4169.231,4153.333,4151.282,4181.282,4150.769,0,0
14,127,0,52,4169.231,4172.179,4166.667,4176.41,4185.513,4178.846,4172.0509999999995,4181.538,4176.667,4176.538,4165.769,4161.41,4185.513,4157.179,0,0
15,0,0,2682,4167.308,4169.103,4165.0,4172.9490000000005,4184.744000000001,4183.59,4173.59,4166.538,4172.179,4173.974,4168.205,4162.821,4184.487,4156.795,0,0
16,1,0,3085,4167.821,4173.205,4167.0509999999995,4175.0,4180.0,4175.897,4180.897,4171.282,4168.462,4166.538,4166.154,4158.077,4179.487,4154.359,0,0
17,2,0,3245,4176.282,4184.103,4171.282,4184.487,4185.128,4171.154,4187.9490000000005,4190.0,4178.205,4175.0,4171.026,4161.923,4182.308,4163.846,0,0
18,3,0,3056,4177.564,4185.128,4164.872,4185.769,4186.538,4178.077,4181.026,4193.333,4185.128,4183.59,4172.179,4163.077,4185.128,4168.974,0,0
