,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,116,0,3081,4163.846,4190.769,4167.821,4211.41,4190.0,4187.308,4170.641,4173.077,4186.41,4165.641,4168.333,4166.538,4181.41,4155.769,0,0
1,117,0,3221,4167.179,4205.641,4165.385,4221.282,4201.538,4186.154,4177.436,4177.564,4196.026,4176.41,4173.718,4169.359,4186.538,4160.513,0,0
2,118,0,3405,4158.462,4189.231,4164.744000000001,4208.718,4186.667,4192.692,4180.513,4173.974,4191.154,4170.0,4172.821,4166.795,4183.333,4150.769,0,0
3,119,0,3249,4155.897,4173.205,4166.154,4198.59,4170.128,4191.667,4171.026,4167.564,4179.359,4161.538,4166.41,4162.692,4172.9490000000005,4141.282,0,0
4,120,0,3081,4168.077,4191.154,4167.9490000000005,4219.359,4179.103,4192.179,4176.154,4180.385,4190.769,4176.795,4174.487,4170.385,4181.41,4153.974,0,0
5,121,0,3221,4172.308,4204.103,4163.974,4226.41,4197.308,4198.59,4185.385,4191.41,4200.513,4191.538,4181.282,4173.846,4191.667,4163.974,0,0
6,122,0,3405,4163.846,4184.744000000001,4158.59,4200.0,4192.179,4192.308,4169.615,4177.692,4189.487,4176.795,4167.692,4164.103,4175.128,4151.282,0,0
7,123,0,3249,4165.513,4178.077,4170.513,4200.641,4177.692,4183.846,4169.872,4177.0509999999995,4195.255999999999,4172.9490000000005,4170.513,4171.923,4172.308,4151.667,0,0
8,124,0,3081,4174.872,4193.59,4182.308,4224.744000000001,4187.9490000000005,4192.9490000000005,4188.846,4192.308,4213.333,4190.897,4190.0,4189.487,4190.513,4166.154,0,0
9,125,0,3221,4166.795,4189.359,4168.718,4213.333,4200.255999999999,4196.41,4181.41,4190.641,4207.564,4193.205,4184.487,4176.667,4188.077,4162.564,0,0
10,126,0,3405,4157.564,4176.667,4155.641,4197.308,4188.333,4188.462,4168.462,4177.9490000000005,4193.205,4174.872,4170.641,4161.538,4172.564,4153.205,0,0
11,127,0,54,4174.103,4184.231,4174.103,4210.385,4182.179,4188.59,4181.923,4186.923,4203.205,4175.641,4184.615,4182.436,4183.846,4169.231,0,0
12,0,0,3123,4195.641,4187.821,4199.487,4217.9490000000005,4185.128,4195.385,4192.9490000000005,4200.255999999999,4215.255999999999,4193.077,4196.538,4198.718,4197.692,4187.821,0,0
13,1,0,3299,4178.077,4186.923,4180.128,4212.0509999999995,4185.128,4192.692,4179.359,4190.0,4204.615,4187.179,4179.744000000001,4177.692,4183.205,4173.333,0,0
14,2,0,2835,4168.205,4200.513,4162.436,4218.718,4195.513,4193.846,4176.41,4185.769,4197.821,4178.59,4177.436,4173.462,4178.974,4164.231,0,0
15,3,0,3521,4190.385,4210.0,4181.154,4224.615,4208.462,4196.282,4188.077,4198.205,4211.667,4192.179,4196.538,4195.897,4198.077,4183.077,0,0
16,4,0,3510,4195.513,4197.308,4192.179,4213.205,4197.821,4194.487,4189.103,4197.308,4215.769,4193.205,4195.255999999999,4195.0,4199.103,4189.231,0,0
17,5,0,1720,4184.487,4193.974,4187.436,4213.077,4192.821,4194.359,4189.103,4192.821,4208.205,4183.205,4186.41,4185.897,4189.231,4177.0509999999995,0,0
18,6,0,3265,4192.179,4202.9490000000005,4194.487,4220.641,4212.564,4197.436,4193.462,4201.795,4211.41,4188.974,4192.821,4196.667,4196.282,4180.0,0,0
19,7,0,3400,4191.026,4198.718,4192.179,4206.026,4211.026,4194.615,4183.333,4196.923,4203.974,4186.538,4188.077,4195.0,4191.538,4180.255999999999,0,0
20,8,0,3158,4171.154,4184.615,4170.641,4184.487,4188.846,4189.615,4168.974,4176.923,4185.128,4162.308,4169.744000000001,4173.333,4168.718,4162.692,0,0
21,9,0,3560,4167.0509999999995,4173.462,4166.538,4179.615,4182.436,4188.462,4168.846,4174.359,4181.41,4152.9490000000005,4165.641,4166.667,4168.205,4156.538,0,0
22,10,0,3409,4167.179,4173.974,4170.385,4183.333,4179.359,4181.41,4163.462,4178.846,4185.897,4162.179,4167.308,4169.744000000001,4177.564,4160.897,0,0
