,COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, MARKER_HARDWARE, MARKER
0,124,0,3010,4241.282,3899.8720000000003,4249.872,4156.538,4269.359,4223.59,4237.692,4238.333,4254.744000000001,4233.077,4223.462,4255.769,4234.103,4243.59,0,0
1,125,0,3213,4237.9490000000005,3868.462,4239.231,4155.385,4182.821,4204.103,4210.641,4214.359,4224.103,4204.231,4215.385,4243.59,4219.359,4234.487,0,0
2,126,0,3448,4224.103,3798.8459999999995,4217.692,4133.846,4225.255999999999,4190.769,4175.385,4177.564,4189.615,4178.59,4197.821,4225.128,4196.667,4215.513,0,0
3,127,0,55,4224.359,3786.41,4218.205,4130.128,4306.923,4204.359,4188.974,4188.974,4208.59,4200.897,4198.846,4228.333,4200.641,4215.0,0,0
4,0,0,3205,4220.255999999999,3802.692,4221.667,4141.154,4235.0,4205.385,4201.026,4204.359,4215.769,4191.538,4204.231,4226.154,4203.974,4211.538,0,0
5,1,0,3373,4212.821,3788.8459999999995,4217.0509999999995,4147.821,4185.513,4196.923,4189.359,4198.205,4197.692,4172.436,4200.385,4217.821,4199.103,4200.513,0,0
6,2,0,2815,4206.538,3772.179,4212.0509999999995,4142.436,4247.692,4200.0,4190.385,4194.872,4199.487,4185.897,4194.103,4216.41,4197.436,4196.538,0,0
7,3,0,3557,4197.9490000000005,3767.5640000000003,4209.231,4132.821,4262.308,4193.846,4193.077,4194.359,4212.564,4175.769,4188.462,4214.231,4200.769,4194.872,0,0
8,4,0,3604,4195.769,3759.103,4208.205,4133.077,4231.795,4180.897,4180.385,4191.41,4213.333,4174.103,4184.103,4211.282,4197.564,4193.077,0,0
9,5,0,3389,4195.769,3759.487,4206.41,4138.846,4239.231,4189.872,4182.308,4195.897,4210.0,4210.769,4181.026,4213.077,4187.308,4190.897,0,0
10,6,0,3372,4196.538,3770.7690000000002,4215.255999999999,4150.769,4239.487,4204.487,4206.795,4212.179,4216.795,4217.821,4189.615,4222.821,4198.205,4197.9490000000005,0,0
11,7,0,3426,4198.59,3772.5640000000003,4225.769,4161.41,4242.0509999999995,4203.205,4214.615,4219.103,4222.308,4203.718,4203.333,4230.897,4220.641,4208.333,0,0
